X204.014D.final	X204.0A78.final	X204.0E29.final	X204.1D21.final	X204.2401.final	X204.2B00.final	X204.362D.final	X204.3B49.final	X204.4305.final	X204.691B.final	X213.0433.final	X213.0F6A.final	X213.1B7C.final	X213.3451.final	X213.3C4E.final	X213.4410.final	X213.496F.final	X213.5D38.final	X213.6224.final	X213.7B56.final	X215.0302.t.2	X215.0646.t.2	X215.0B2B.t.2	X215.0B59.t.2	X215.340E.t.2	X215.406C.t.2	X215.471D.t.2	X215.591C.t.2	X215.6E50.t.2	X215.7262.t.2
4	3	5	6	2	10	1	2	6	5	8	6	5	3	5	4	6	6	2	3	4	5	1	5	7	7	3	1	2	3
3	1	5	1	1	0	0	3	0	9	12	0	3	5	0	0	1	1	0	21	1	6	1	10	7	16	8	3	0	10
1	2	6	6	29	1	7	1	10	2	4	1	33	0	5	0	5	3	1	5	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	13	0	0	0	28	30	19	0
3	1	3	2	5	1	2	0	1	5	5	1	1	3	4	3	3	4	2	4	0	7	3	1	17	13	14	0	1	0
3	1	9	1	17	4	2	3	12	3	1	5	1	5	2	5	2	8	3	14	0	3	1	0	0	0	1	2	0	0
3	1	1	11	8	2	0	1	0	1	11	14	7	4	10	0	7	12	5	1	0	1	0	0	2	2	2	0	1	1
5	0	0	1	7	0	2	0	9	10	6	3	1	1	3	18	2	2	2	6	0	2	0	1	12	10	3	0	1	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	49	1	30	15	0	4
1	1	1	1	5	6	4	0	2	2	0	5	9	10	10	10	9	0	12	9	0	1	0	0	0	1	2	1	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	21	14	19	7	14	7	1	2	14
6	0	5	5	0	0	5	0	0	19	6	0	13	1	26	2	0	3	0	0	0	5	0	0	0	0	0	0	0	0
0	0	0	13	0	0	0	0	7	30	0	0	3	0	0	0	0	0	0	22	0	0	15	0	1	0	2	0	0	0
5	1	6	2	0	42	2	6	24	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	4	3	2	1	4	1	3	6	2	4	1	3	6	4	5	0	2	3	2	3	1	4	2	4	6	4	4	1	2
9	0	1	0	2	2	2	0	4	1	2	0	0	1	3	10	3	2	1	0	0	8	1	3	4	4	16	7	3	0
3	1	1	3	0	10	1	5	1	3	16	0	1	0	7	5	2	1	1	21	0	0	0	0	0	0	0	0	0	0
2	4	3	3	6	5	0	1	1	15	9	0	2	5	2	0	2	11	2	4	0	0	0	0	1	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	1	5	39	2	25	0	0	0
1	2	5	2	0	3	2	1	1	1	6	2	5	2	4	1	2	2	3	2	3	4	2	5	4	5	2	4	1	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	11	1	2	8	10	32	3	3	3
0	0	0	0	0	0	0	0	0	0	2	2	3	0	4	2	4	0	0	2	2	7	5	3	9	15	4	2	2	6
5	1	3	9	11	1	2	1	2	6	4	1	2	2	7	0	3	2	4	6	0	0	0	1	1	0	0	0	0	0
0	0	3	9	0	0	0	0	3	44	1	0	0	0	1	0	0	0	0	1	0	0	0	10	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	5	22	8	7	4	4	6	10
0	3	2	4	2	3	4	3	2	3	2	4	4	6	1	1	0	4	1	1	1	4	1	3	2	6	0	1	2	0
0	1	5	5	4	2	4	0	5	3	6	2	1	1	5	4	2	0	2	5	0	8	0	1	0	0	0	0	0	0
3	3	2	3	1	9	3	2	2	2	3	1	1	2	1	1	2	0	3	0	4	2	1	2	3	2	1	2	4	1
0	1	1	0	2	4	1	0	1	2	0	0	2	0	13	3	9	1	3	6	0	4	2	2	0	8	0	0	0	0
0	0	1	0	2	2	3	0	3	3	0	0	1	0	10	3	1	1	7	0	0	6	0	2	3	10	2	0	0	3
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	10	0	0	0	16	25	5	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	10	0	0	0	24	11	8	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	8	0	0	0	20	24	4	0
0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	3	0	17	1	1	0	1	2	12	6	2	3	1	7
0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	24	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	16	8	15	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	7	5	0	0	1	1	6	9	1	1	0	7
0	0	0	0	2	0	0	0	24	1	0	0	0	1	0	0	10	0	0	0	0	2	3	0	0	1	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	1	1	23	14	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	32	0
0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	9	0
1	0	12	0	0	0	0	0	0	0	0	2	3	2	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	5	0	0	0	0	0	0	0	0
